P            DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
D            D                                   D
             D        E                          D
             D                                   D
             D                                   D
             D                                   D
             D                                   D
            D                                    D
           D                                     D
          D                                      D
DDDDDDDDDD                                       D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
D                                                D
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
